"id","location","fault_severity","severity_type","res.size","event.size","feat.size","tot.vol"
1,"location 601","1","severity_type 1",2,2,3,5
5,"location 460","0","severity_type 2",1,2,2,17
6,"location 332","1","severity_type 2",1,1,2,2
8,"location 243","0","severity_type 2",1,2,6,16
13,"location 418","0","severity_type 2",1,2,2,2
19,"location 644","1","severity_type 1",1,2,4,7
20,"location 79","0","severity_type 2",3,3,2,2
23,"location 257","0","severity_type 2",1,2,4,6
24,"location 367","0","severity_type 4",1,1,1,2
26,"location 238","0","severity_type 4",1,1,1,1
27,"location 793","0","severity_type 1",1,1,2,5
28,"location 889","0","severity_type 2",1,1,1,2
29,"location 505","0","severity_type 2",1,2,16,627
31,"location 457","0","severity_type 2",1,2,4,35
33,"location 473","0","severity_type 2",1,2,4,12
38,"location 468","0","severity_type 2",1,2,4,10
43,"location 300","0","severity_type 2",1,2,6,12
44,"location 451","0","severity_type 2",1,2,2,56
49,"location 484","0","severity_type 2",1,2,7,30
53,"location 242","0","severity_type 1",1,3,10,297
54,"location 488","0","severity_type 2",1,2,10,36
55,"location 471","0","severity_type 2",1,2,14,264
57,"location 1075","1","severity_type 1",1,2,2,4
59,"location 602","0","severity_type 1",1,1,2,4
60,"location 931","0","severity_type 1",1,2,2,8
61,"location 284","1","severity_type 2",1,1,2,2
64,"location 921","0","severity_type 2",1,1,1,1
67,"location 821","0","severity_type 1",1,2,2,6
68,"location 684","2","severity_type 2",1,1,4,104
69,"location 875","1","severity_type 1",1,1,2,4
75,"location 481","0","severity_type 2",1,2,4,89
79,"location 8","0","severity_type 1",1,2,2,4
80,"location 194","0","severity_type 2",1,1,1,3
81,"location 147","0","severity_type 4",1,1,3,3
83,"location 149","0","severity_type 2",1,2,3,6
84,"location 745","1","severity_type 1",2,2,2,4
88,"location 494","0","severity_type 2",1,2,4,17
89,"location 253","0","severity_type 4",1,1,2,2
90,"location 1111","1","severity_type 1",1,1,1,1
91,"location 984","1","severity_type 1",2,2,4,5
92,"location 600","0","severity_type 2",1,1,1,12
93,"location 1086","0","severity_type 2",1,1,1,8
94,"location 1111","2","severity_type 1",1,1,3,12
99,"location 149","0","severity_type 2",1,2,6,254
104,"location 821","2","severity_type 1",1,2,5,41
105,"location 376","1","severity_type 2",1,2,7,10
107,"location 118","1","severity_type 2",1,2,2,19
111,"location 491","0","severity_type 2",1,2,5,9
112,"location 963","0","severity_type 2",1,1,1,1
115,"location 264","1","severity_type 2",1,2,4,4
119,"location 1052","1","severity_type 2",1,1,2,6
120,"location 462","0","severity_type 1",1,2,3,6
125,"location 793","0","severity_type 1",1,1,2,36
129,"location 726","0","severity_type 1",1,1,2,10
130,"location 7","0","severity_type 1",1,1,2,3
131,"location 621","1","severity_type 1",1,1,2,2
132,"location 1042","0","severity_type 2",1,1,2,20
134,"location 892","2","severity_type 1",1,3,5,28
135,"location 878","0","severity_type 1",1,1,2,11
138,"location 684","0","severity_type 1",1,2,3,15
139,"location 474","0","severity_type 2",1,2,6,15
142,"location 734","2","severity_type 1",1,2,5,28
146,"location 505","0","severity_type 2",1,2,4,22
149,"location 504","0","severity_type 2",1,2,6,11
152,"location 328","0","severity_type 1",1,3,4,4
154,"location 257","1","severity_type 2",1,2,2,2
157,"location 1072","0","severity_type 1",1,1,2,6
158,"location 533","0","severity_type 5",1,1,2,4
159,"location 600","2","severity_type 2",1,1,2,45
161,"location 321","0","severity_type 2",1,2,4,20
162,"location 292","0","severity_type 2",1,2,4,20
177,"location 124","0","severity_type 2",1,2,3,3
178,"location 939","0","severity_type 1",1,1,1,1
179,"location 506","0","severity_type 2",1,2,4,193
183,"location 1026","1","severity_type 1",2,2,2,8
184,"location 995","1","severity_type 1",1,2,6,530
188,"location 493","0","severity_type 2",1,2,6,6
190,"location 478","0","severity_type 2",1,2,6,22
191,"location 95","1","severity_type 2",1,2,4,6
193,"location 979","0","severity_type 1",1,1,2,2
196,"location 782","0","severity_type 1",1,1,2,4
199,"location 126","0","severity_type 2",1,1,1,1
200,"location 1008","2","severity_type 2",1,1,3,18
204,"location 505","0","severity_type 2",1,2,6,220
206,"location 805","0","severity_type 1",1,1,2,3
207,"location 506","0","severity_type 2",1,2,4,233
212,"location 665","0","severity_type 1",1,1,2,4
213,"location 497","0","severity_type 2",1,2,4,406
217,"location 13","1","severity_type 1",2,2,4,8
221,"location 704","0","severity_type 1",1,2,5,32
223,"location 1107","0","severity_type 1",1,2,4,8
225,"location 839","0","severity_type 1",1,1,1,12
227,"location 771","0","severity_type 2",1,1,4,67
234,"location 714","1","severity_type 1",1,1,1,1
238,"location 810","0","severity_type 2",1,1,2,79
239,"location 881","1","severity_type 1",1,1,2,2
240,"location 892","1","severity_type 2",1,3,5,10
242,"location 1031","0","severity_type 1",1,1,2,10
243,"location 520","0","severity_type 2",1,2,2,26
247,"location 845","2","severity_type 2",1,1,2,8
248,"location 122","0","severity_type 2",1,2,6,26
251,"location 122","0","severity_type 2",1,2,6,12
256,"location 1033","0","severity_type 4",1,1,1,2
257,"location 1099","0","severity_type 1",1,1,2,6
259,"location 282","0","severity_type 4",1,1,2,2
260,"location 653","0","severity_type 2",1,1,2,12
262,"location 994","0","severity_type 2",1,1,2,2
263,"location 1107","2","severity_type 1",2,3,5,71
265,"location 831","0","severity_type 4",1,1,2,3
266,"location 879","0","severity_type 2",1,1,2,3
269,"location 891","0","severity_type 2",1,1,1,1
270,"location 479","0","severity_type 2",1,2,4,69
272,"location 497","0","severity_type 2",1,2,6,97
274,"location 244","0","severity_type 2",1,2,2,88
275,"location 704","2","severity_type 2",1,1,4,26
279,"location 400","0","severity_type 4",1,1,1,1
284,"location 797","0","severity_type 1",1,1,2,7
290,"location 892","2","severity_type 1",1,3,6,31
292,"location 242","0","severity_type 2",1,2,7,320
293,"location 133","1","severity_type 2",1,2,2,2
295,"location 1050","1","severity_type 1",1,1,3,3
296,"location 1086","2","severity_type 2",1,1,2,37
297,"location 812","2","severity_type 1",2,2,4,23
299,"location 445","0","severity_type 2",1,2,2,13
300,"location 691","1","severity_type 2",2,3,3,4
302,"location 91","1","severity_type 2",1,2,2,2
306,"location 895","1","severity_type 1",1,3,6,74
313,"location 902","0","severity_type 1",1,1,2,4
315,"location 909","1","severity_type 2",2,2,4,6
317,"location 236","0","severity_type 1",1,3,6,9
319,"location 1099","0","severity_type 1",1,1,4,16
320,"location 1100","2","severity_type 1",1,2,5,142
321,"location 921","1","severity_type 2",1,1,2,4
323,"location 763","1","severity_type 2",1,1,2,12
327,"location 488","0","severity_type 2",1,2,2,42
334,"location 627","0","severity_type 2",2,3,4,6
338,"location 847","1","severity_type 4",1,1,2,2
339,"location 1095","2","severity_type 1",4,5,6,8
341,"location 122","0","severity_type 2",1,2,6,28
343,"location 375","0","severity_type 2",1,2,2,14
345,"location 895","1","severity_type 1",1,3,6,36
348,"location 962","1","severity_type 1",1,2,2,19
350,"location 1024","0","severity_type 1",1,1,2,5
355,"location 846","0","severity_type 1",1,2,2,16
357,"location 894","0","severity_type 1",1,3,6,86
358,"location 1104","1","severity_type 1",1,1,2,2
360,"location 834","2","severity_type 2",1,1,2,14
363,"location 809","0","severity_type 1",1,2,2,10
364,"location 148","0","severity_type 2",1,2,2,2
371,"location 332","0","severity_type 1",1,1,1,2
373,"location 834","2","severity_type 2",1,1,2,16
377,"location 735","0","severity_type 1",1,1,2,9
379,"location 742","0","severity_type 1",1,2,3,291
381,"location 617","1","severity_type 1",1,1,1,2
385,"location 1107","1","severity_type 1",1,2,4,42
387,"location 957","0","severity_type 2",2,2,2,2
391,"location 149","0","severity_type 2",1,2,5,8
392,"location 810","0","severity_type 2",1,1,2,3
397,"location 737","1","severity_type 1",1,1,2,4
400,"location 1017","1","severity_type 1",1,1,2,5
403,"location 899","0","severity_type 1",1,3,5,25
406,"location 13","2","severity_type 1",5,6,7,11
408,"location 232","0","severity_type 1",1,1,2,2
409,"location 808","0","severity_type 1",1,2,2,5
411,"location 734","1","severity_type 1",1,2,6,33
412,"location 1080","1","severity_type 1",2,2,2,6
413,"location 944","1","severity_type 1",1,2,7,20
415,"location 903","1","severity_type 1",1,1,4,42
417,"location 856","1","severity_type 2",2,3,3,4
420,"location 686","0","severity_type 1",2,3,6,8
421,"location 836","0","severity_type 1",1,1,2,15
424,"location 476","0","severity_type 2",1,2,6,50
429,"location 793","0","severity_type 1",1,1,2,106
430,"location 1100","1","severity_type 1",1,2,3,57
432,"location 255","0","severity_type 2",1,2,2,13
437,"location 655","0","severity_type 1",1,1,2,2
438,"location 684","2","severity_type 2",1,1,3,50
439,"location 842","0","severity_type 1",1,1,2,2
444,"location 326","1","severity_type 2",1,2,4,8
446,"location 1056","1","severity_type 1",2,2,3,3
447,"location 446","0","severity_type 1",1,3,4,4
449,"location 707","0","severity_type 1",1,2,1,9
450,"location 242","0","severity_type 2",1,2,6,249
452,"location 821","1","severity_type 2",1,1,2,8
453,"location 619","0","severity_type 2",1,1,1,5
455,"location 124","0","severity_type 2",1,2,5,8
462,"location 1008","1","severity_type 1",1,2,6,32
465,"location 684","2","severity_type 2",1,1,2,58
466,"location 937","1","severity_type 1",1,1,2,5
469,"location 480","0","severity_type 2",1,2,4,128
470,"location 648","0","severity_type 2",3,3,2,2
472,"location 122","0","severity_type 2",1,2,5,21
474,"location 118","0","severity_type 2",1,2,2,10
477,"location 1042","1","severity_type 2",1,1,2,25
479,"location 1025","0","severity_type 1",1,1,2,2
480,"location 899","0","severity_type 2",1,1,1,1
484,"location 1018","0","severity_type 1",1,2,4,16
486,"location 821","0","severity_type 1",1,2,4,22
487,"location 1010","0","severity_type 1",1,1,3,67
488,"location 400","0","severity_type 4",1,1,1,2
489,"location 72","1","severity_type 2",1,1,2,2
491,"location 808","0","severity_type 1",1,2,3,5
492,"location 692","0","severity_type 2",1,1,2,2
495,"location 704","1","severity_type 2",1,1,2,20
496,"location 481","0","severity_type 2",1,2,4,96
497,"location 253","0","severity_type 2",1,2,4,10
498,"location 734","2","severity_type 1",1,1,1,2
499,"location 892","2","severity_type 1",1,3,6,50
500,"location 280","0","severity_type 4",1,1,1,1
501,"location 157","0","severity_type 2",1,2,4,6
502,"location 290","0","severity_type 1",2,3,6,6
503,"location 962","1","severity_type 2",1,1,2,25
504,"location 798","0","severity_type 1",1,2,2,21
505,"location 834","0","severity_type 2",1,1,1,14
506,"location 756","0","severity_type 1",1,1,2,25
507,"location 895","0","severity_type 4",1,3,3,6
515,"location 518","0","severity_type 2",1,2,2,4
519,"location 122","0","severity_type 2",1,2,4,4
532,"location 1090","0","severity_type 1",1,1,2,2
533,"location 99","0","severity_type 4",1,1,1,1
541,"location 488","0","severity_type 2",1,2,3,15
543,"location 798","2","severity_type 2",1,1,2,18
544,"location 974","1","severity_type 1",1,1,2,2
549,"location 495","0","severity_type 2",1,2,17,576
550,"location 1031","0","severity_type 1",1,1,2,13
552,"location 745","1","severity_type 1",1,1,1,1
553,"location 798","0","severity_type 1",1,2,2,53
555,"location 834","0","severity_type 2",1,1,2,38
558,"location 1092","1","severity_type 1",1,1,1,4
561,"location 641","0","severity_type 1",1,2,6,529
569,"location 151","0","severity_type 2",1,2,4,5
570,"location 1089","0","severity_type 1",1,1,2,3
575,"location 756","1","severity_type 1",1,1,2,10
576,"location 322","0","severity_type 2",1,2,2,5
580,"location 89","1","severity_type 2",1,2,4,12
581,"location 1007","0","severity_type 2",1,1,1,1
583,"location 639","1","severity_type 1",1,1,1,1
585,"location 962","0","severity_type 2",1,1,1,4
588,"location 921","2","severity_type 1",1,2,4,20
594,"location 734","1","severity_type 2",1,1,4,35
599,"location 1109","0","severity_type 1",1,1,1,1
601,"location 543","0","severity_type 1",1,2,2,4
603,"location 507","0","severity_type 2",1,2,13,122
604,"location 141","1","severity_type 2",1,2,7,9
605,"location 1052","0","severity_type 2",1,1,1,5
608,"location 1008","1","severity_type 2",1,1,3,16
615,"location 445","1","severity_type 2",1,2,2,8
616,"location 885","1","severity_type 1",1,1,4,14
618,"location 495","0","severity_type 2",1,2,14,440
622,"location 856","1","severity_type 2",2,3,4,4
623,"location 1100","0","severity_type 2",1,1,1,19
624,"location 165","1","severity_type 2",1,1,2,2
626,"location 505","0","severity_type 2",1,2,18,718
630,"location 344","0","severity_type 2",1,2,2,10
634,"location 808","0","severity_type 1",1,2,2,15
636,"location 102","1","severity_type 2",1,2,2,2
637,"location 122","0","severity_type 4",1,1,2,2
638,"location 371","1","severity_type 2",1,2,8,12
640,"location 744","0","severity_type 1",2,2,5,10
646,"location 484","0","severity_type 2",1,2,6,44
651,"location 445","0","severity_type 2",1,2,2,9
656,"location 481","0","severity_type 2",1,2,4,103
657,"location 895","1","severity_type 1",1,3,6,122
660,"location 124","0","severity_type 2",1,2,5,8
662,"location 244","0","severity_type 2",1,2,2,78
663,"location 653","0","severity_type 1",2,2,4,43
665,"location 1008","1","severity_type 2",1,1,4,16
678,"location 363","0","severity_type 2",1,2,6,8
679,"location 734","1","severity_type 1",1,2,3,24
680,"location 373","0","severity_type 2",1,2,2,116
681,"location 1099","0","severity_type 1",1,1,2,11
682,"location 455","0","severity_type 2",1,2,2,14
683,"location 735","0","severity_type 1",1,1,2,3
684,"location 704","2","severity_type 1",1,2,2,55
687,"location 638","2","severity_type 1",1,2,4,18
691,"location 931","0","severity_type 2",1,1,2,5
693,"location 1052","1","severity_type 1",2,2,4,19
698,"location 821","0","severity_type 1",1,2,4,72
702,"location 976","0","severity_type 1",2,2,4,17
703,"location 313","0","severity_type 2",1,2,6,14
714,"location 9","0","severity_type 1",1,2,2,5
715,"location 445","0","severity_type 2",1,2,2,21
716,"location 895","2","severity_type 1",1,3,5,20
720,"location 154","1","severity_type 2",1,2,2,2
721,"location 798","0","severity_type 2",1,1,1,14
722,"location 1007","0","severity_type 1",1,2,2,5
727,"location 118","0","severity_type 2",1,2,2,45
731,"location 118","0","severity_type 1",1,3,6,30
732,"location 909","0","severity_type 2",2,2,1,2
733,"location 1106","0","severity_type 1",1,1,2,39
734,"location 313","0","severity_type 2",1,2,5,8
740,"location 91","1","severity_type 2",1,2,6,8
741,"location 1051","0","severity_type 1",1,1,2,3
742,"location 1107","0","severity_type 1",1,2,3,11
745,"location 272","1","severity_type 2",1,2,4,4
747,"location 113","0","severity_type 2",1,2,2,2
748,"location 1017","0","severity_type 1",1,1,2,21
752,"location 821","1","severity_type 1",2,3,4,20
755,"location 122","0","severity_type 2",1,2,6,23
766,"location 181","0","severity_type 2",1,2,7,11
768,"location 474","0","severity_type 2",1,2,4,7
769,"location 893","0","severity_type 1",1,3,6,64
772,"location 763","1","severity_type 2",1,1,2,15
777,"location 1023","1","severity_type 1",2,2,3,8
778,"location 812","0","severity_type 1",1,1,3,857
780,"location 228","1","severity_type 2",1,2,6,6
784,"location 445","0","severity_type 2",1,2,2,23
787,"location 897","2","severity_type 1",1,4,6,6
788,"location 481","1","severity_type 1",1,2,3,3
789,"location 810","2","severity_type 2",1,1,2,13
794,"location 646","0","severity_type 1",1,1,4,21
795,"location 723","1","severity_type 1",2,2,4,4
796,"location 976","2","severity_type 1",1,2,4,25
797,"location 126","0","severity_type 2",1,2,8,169
809,"location 204","1","severity_type 1",1,2,3,4
810,"location 1025","0","severity_type 4",1,1,2,4
811,"location 314","0","severity_type 2",1,2,4,12
812,"location 1024","0","severity_type 1",1,1,3,678
813,"location 737","0","severity_type 1",1,1,2,12
818,"location 821","0","severity_type 2",1,1,3,6
821,"location 1008","1","severity_type 2",1,1,3,35
822,"location 91","0","severity_type 2",1,2,2,398
827,"location 167","0","severity_type 1",1,3,4,4
831,"location 126","0","severity_type 2",1,2,6,10
836,"location 128","0","severity_type 4",1,1,1,1
839,"location 825","1","severity_type 1",1,1,2,5
840,"location 88","1","severity_type 4",1,1,2,2
841,"location 949","1","severity_type 1",1,1,2,3
843,"location 895","2","severity_type 1",1,4,7,20
845,"location 995","2","severity_type 1",1,2,5,95
850,"location 704","0","severity_type 1",1,2,3,30
853,"location 159","0","severity_type 2",1,2,2,32
855,"location 1019","2","severity_type 1",1,2,4,74
856,"location 330","1","severity_type 2",1,2,4,5
858,"location 1083","0","severity_type 1",1,1,1,2
859,"location 402","1","severity_type 1",1,3,4,5
866,"location 785","1","severity_type 4",1,1,2,2
869,"location 282","0","severity_type 4",1,1,1,1
870,"location 167","0","severity_type 2",1,2,2,2
871,"location 386","1","severity_type 2",1,2,4,44
873,"location 655","1","severity_type 1",1,3,4,14
874,"location 1100","2","severity_type 1",1,2,2,157
878,"location 999","0","severity_type 2",1,1,1,1
881,"location 889","0","severity_type 2",1,1,1,1
883,"location 1030","0","severity_type 2",1,1,1,2
885,"location 497","0","severity_type 2",1,2,4,14
886,"location 1018","0","severity_type 1",1,2,2,6
888,"location 85","1","severity_type 4",1,1,2,4
892,"location 346","1","severity_type 2",1,2,2,2
893,"location 1019","0","severity_type 1",1,2,4,59
896,"location 732","0","severity_type 1",1,1,2,2
897,"location 373","0","severity_type 2",1,2,4,158
900,"location 819","1","severity_type 4",1,1,2,3
901,"location 684","0","severity_type 2",1,1,4,90
902,"location 763","1","severity_type 2",1,1,2,5
